query_id,doc_id,judgment
Q1,D001,N
Q1,D002,R
Q1,D003,N
Q1,D004,N
Q1,D005,N
Q1,D006,N
Q1,D007,N
Q1,D008,N
Q1,D009,N
Q1,D010,R
Q1,D011,N
Q1,D012,N
Q1,D013,N
Q1,D014,N
Q1,D015,N
Q1,D016,R
Q1,D017,N
Q1,D018,N
Q1,D019,N
Q1,D020,N
Q1,D021,N
Q1,D022,N
Q1,D023,N
Q1,D024,N
Q1,D025,N
Q1,D026,N
Q1,D027,N
Q1,D028,N
Q1,D029,N
Q1,D030,N
Q1,D031,N
Q1,D032,N
Q1,D033,N
Q1,D034,N
Q1,D035,N
Q1,D036,N
Q1,D037,N
Q1,D038,N
Q1,D039,N
Q1,D040,N
Q1,D041,N
Q1,D042,R
Q1,D043,R
Q1,D044,N
Q1,D045,N
Q1,D046,N
Q1,D047,N
Q1,D048,N
Q1,D049,N
Q1,D050,N
Q1,D051,R
Q1,D052,N
Q1,D053,N
Q1,D054,N
Q1,D055,N
Q1,D056,N
Q1,D057,N
Q1,D058,N
Q1,D059,N
Q1,D060,N
Q1,D061,N
Q1,D062,N
Q1,D063,N
Q1,D064,N
Q1,D065,N
Q1,D066,R
Q1,D067,N
Q1,D068,N
Q1,D069,N
Q1,D070,N
Q1,D071,R
Q1,D072,N
Q1,D073,N
Q1,D074,N
Q1,D075,N
Q1,D076,N
Q1,D077,N
Q1,D078,N
Q1,D079,R
Q1,D080,N
Q1,D081,N
Q1,D082,N
Q1,D083,N
Q1,D084,N
Q1,D085,N
Q1,D086,N
Q1,D087,N
Q1,D088,N
Q1,D089,N
Q1,D090,N
Q1,D091,N
Q1,D092,R
Q1,D093,N
Q1,D094,N
Q1,D095,N
Q1,D096,N
Q1,D097,N
Q1,D098,N
Q1,D099,N
Q1,D100,N
Q2,D001,N
Q2,D002,N
Q2,D003,N
Q2,D004,N
Q2,D005,N
Q2,D006,N
Q2,D007,N
Q2,D008,N
Q2,D009,N
Q2,D010,N
Q2,D011,R
Q2,D012,N
Q2,D013,N
Q2,D014,N
Q2,D015,N
Q2,D016,N
Q2,D017,N
Q2,D018,N
Q2,D019,N
Q2,D020,N
Q2,D021,N
Q2,D022,N
Q2,D023,N
Q2,D024,N
Q2,D025,N
Q2,D026,N
Q2,D027,N
Q2,D028,N
Q2,D029,N
Q2,D030,N
Q2,D031,N
Q2,D032,N
Q2,D033,N
Q2,D034,N
Q2,D035,N
Q2,D036,N
Q2,D037,N
Q2,D038,R
Q2,D039,N
Q2,D040,N
Q2,D041,N
Q2,D042,N
Q2,D043,N
Q2,D044,N
Q2,D045,N
Q2,D046,R
Q2,D047,N
Q2,D048,N
Q2,D049,R
Q2,D050,N
Q2,D051,N
Q2,D052,N
Q2,D053,N
Q2,D054,N
Q2,D055,N
Q2,D056,R
Q2,D057,R
Q2,D058,N
Q2,D059,N
Q2,D060,N
Q2,D061,N
Q2,D062,N
Q2,D063,N
Q2,D064,N
Q2,D065,N
Q2,D066,N
Q2,D067,N
Q2,D068,N
Q2,D069,N
Q2,D070,N
Q2,D071,N
Q2,D072,N
Q2,D073,R
Q2,D074,R
Q2,D075,N
Q2,D076,N
Q2,D077,R
Q2,D078,N
Q2,D079,N
Q2,D080,N
Q2,D081,N
Q2,D082,N
Q2,D083,N
Q2,D084,N
Q2,D085,N
Q2,D086,N
Q2,D087,N
Q2,D088,N
Q2,D089,N
Q2,D090,N
Q2,D091,N
Q2,D092,N
Q2,D093,R
Q2,D094,N
Q2,D095,N
Q2,D096,N
Q2,D097,N
Q2,D098,N
Q2,D099,N
Q2,D100,N
Q3,D001,N
Q3,D002,N
Q3,D003,N
Q3,D004,N
Q3,D005,N
Q3,D006,N
Q3,D007,N
Q3,D008,N
Q3,D009,N
Q3,D010,N
Q3,D011,N
Q3,D012,N
Q3,D013,N
Q3,D014,N
Q3,D015,N
Q3,D016,N
Q3,D017,N
Q3,D018,N
Q3,D019,N
Q3,D020,N
Q3,D021,N
Q3,D022,R
Q3,D023,N
Q3,D024,N
Q3,D025,N
Q3,D026,N
Q3,D027,R
Q3,D028,N
Q3,D029,N
Q3,D030,N
Q3,D031,R
Q3,D032,N
Q3,D033,R
Q3,D034,R
Q3,D035,N
Q3,D036,N
Q3,D037,N
Q3,D038,N
Q3,D039,N
Q3,D040,N
Q3,D041,N
Q3,D042,N
Q3,D043,N
Q3,D044,N
Q3,D045,N
Q3,D046,N
Q3,D047,N
Q3,D048,N
Q3,D049,N
Q3,D050,R
Q3,D051,N
Q3,D052,N
Q3,D053,N
Q3,D054,N
Q3,D055,N
Q3,D056,N
Q3,D057,N
Q3,D058,N
Q3,D059,N
Q3,D060,N
Q3,D061,N
Q3,D062,N
Q3,D063,N
Q3,D064,N
Q3,D065,N
Q3,D066,N
Q3,D067,N
Q3,D068,N
Q3,D069,N
Q3,D070,N
Q3,D071,N
Q3,D072,N
Q3,D073,N
Q3,D074,N
Q3,D075,N
Q3,D076,N
Q3,D077,N
Q3,D078,N
Q3,D079,N
Q3,D080,N
Q3,D081,R
Q3,D082,N
Q3,D083,N
Q3,D084,R
Q3,D085,N
Q3,D086,N
Q3,D087,N
Q3,D088,R
Q3,D089,N
Q3,D090,N
Q3,D091,N
Q3,D092,N
Q3,D093,N
Q3,D094,N
Q3,D095,N
Q3,D096,N
Q3,D097,R
Q3,D098,N
Q3,D099,N
Q3,D100,N
Q4,D001,N
Q4,D002,N
Q4,D003,N
Q4,D004,N
Q4,D005,N
Q4,D006,N
Q4,D007,N
Q4,D008,N
Q4,D009,R
Q4,D010,N
Q4,D011,N
Q4,D012,N
Q4,D013,R
Q4,D014,N
Q4,D015,N
Q4,D016,N
Q4,D017,N
Q4,D018,N
Q4,D019,N
Q4,D020,N
Q4,D021,N
Q4,D022,N
Q4,D023,N
Q4,D024,N
Q4,D025,N
Q4,D026,N
Q4,D027,N
Q4,D028,N
Q4,D029,N
Q4,D030,N
Q4,D031,N
Q4,D032,N
Q4,D033,N
Q4,D034,N
Q4,D035,N
Q4,D036,N
Q4,D037,N
Q4,D038,N
Q4,D039,N
Q4,D040,N
Q4,D041,N
Q4,D042,N
Q4,D043,N
Q4,D044,N
Q4,D045,R
Q4,D046,N
Q4,D047,N
Q4,D048,R
Q4,D049,N
Q4,D050,N
Q4,D051,N
Q4,D052,N
Q4,D053,R
Q4,D054,N
Q4,D055,N
Q4,D056,N
Q4,D057,N
Q4,D058,N
Q4,D059,N
Q4,D060,R
Q4,D061,N
Q4,D062,N
Q4,D063,N
Q4,D064,R
Q4,D065,N
Q4,D066,N
Q4,D067,N
Q4,D068,N
Q4,D069,N
Q4,D070,N
Q4,D071,N
Q4,D072,N
Q4,D073,N
Q4,D074,N
Q4,D075,R
Q4,D076,N
Q4,D077,N
Q4,D078,N
Q4,D079,N
Q4,D080,N
Q4,D081,N
Q4,D082,N
Q4,D083,N
Q4,D084,N
Q4,D085,N
Q4,D086,R
Q4,D087,N
Q4,D088,N
Q4,D089,N
Q4,D090,N
Q4,D091,N
Q4,D092,N
Q4,D093,N
Q4,D094,N
Q4,D095,N
Q4,D096,N
Q4,D097,N
Q4,D098,N
Q4,D099,R
Q4,D100,N
Q5,D001,N
Q5,D002,N
Q5,D003,N
Q5,D004,N
Q5,D005,N
Q5,D006,N
Q5,D007,N
Q5,D008,R
Q5,D009,N
Q5,D010,N
Q5,D011,N
Q5,D012,N
Q5,D013,N
Q5,D014,N
Q5,D015,N
Q5,D016,N
Q5,D017,N
Q5,D018,N
Q5,D019,R
Q5,D020,N
Q5,D021,N
Q5,D022,N
Q5,D023,N
Q5,D024,R
Q5,D025,N
Q5,D026,N
Q5,D027,N
Q5,D028,N
Q5,D029,N
Q5,D030,N
Q5,D031,N
Q5,D032,N
Q5,D033,N
Q5,D034,N
Q5,D035,R
Q5,D036,N
Q5,D037,R
Q5,D038,N
Q5,D039,N
Q5,D040,R
Q5,D041,R
Q5,D042,N
Q5,D043,N
Q5,D044,N
Q5,D045,N
Q5,D046,N
Q5,D047,N
Q5,D048,N
Q5,D049,N
Q5,D050,N
Q5,D051,N
Q5,D052,N
Q5,D053,N
Q5,D054,N
Q5,D055,N
Q5,D056,N
Q5,D057,N
Q5,D058,N
Q5,D059,N
Q5,D060,N
Q5,D061,R
Q5,D062,R
Q5,D063,N
Q5,D064,N
Q5,D065,N
Q5,D066,N
Q5,D067,R
Q5,D068,N
Q5,D069,N
Q5,D070,N
Q5,D071,N
Q5,D072,N
Q5,D073,N
Q5,D074,N
Q5,D075,N
Q5,D076,N
Q5,D077,N
Q5,D078,N
Q5,D079,N
Q5,D080,N
Q5,D081,N
Q5,D082,N
Q5,D083,N
Q5,D084,N
Q5,D085,N
Q5,D086,N
Q5,D087,N
Q5,D088,N
Q5,D089,N
Q5,D090,N
Q5,D091,N
Q5,D092,N
Q5,D093,N
Q5,D094,N
Q5,D095,N
Q5,D096,N
Q5,D097,N
Q5,D098,N
Q5,D099,N
Q5,D100,N
